"","GTAP_Region","CLUM_category","year","NApercent","ZScore_Index","MaxMin_Index"
"81","Rest of Oceania","Gross Fixed Capital Formation",2004,37.8178081136717,-0.148898749701582,0.307520375870838
"82","Rest of South African Customs Union","Gross Fixed Capital Formation",2004,29.1279159840967,-0.631720220360182,0.0738820330131561
"83","Rest of South America","Gross Fixed Capital Formation",2004,40,-0.231864417848323,0.292244987889496
"84","Rest of South Asia","Gross Fixed Capital Formation",2004,58.9488123883378,-0.564299020621124,0.017356954325453
"85","Rest of Southeast Asia","Gross Fixed Capital Formation",2004,40.380898483481,-0.0899077684890773,0.299421636220838
"86","Rest of Western Africa","Gross Fixed Capital Formation",2004,70.5483961751524,-0.976977013360762,0.272160372717717
"87","Rest of Western Asia","Gross Fixed Capital Formation",2004,20,0.13799216003219,0.352987339398081
"88","South Central Africa","Gross Fixed Capital Formation",2004,40,-0.962415155414959,0.130244418000125
"89","South Korea","Gross Fixed Capital Formation",2004,NA,NA,NA
"90","Tanzania","Gross Fixed Capital Formation",2004,NA,NA,NA
"91","Venezuela (Bolivarian Republic of)","Gross Fixed Capital Formation",2004,NA,NA,NA
"92","Vietnam","Gross Fixed Capital Formation",2004,NA,NA,NA
"93","Caribbean","Housing",2004,7.66227237776348,-0.438650714886653,0.556462508372031
"94","Central Africa","Housing",2004,16.6666666666667,-1.67418583246396,0.213691050954432
"95","Cote dIvoire","Housing",2004,NA,NA,NA
"96","Iran","Housing",2004,NA,NA,NA
"97","Laos","Housing",2004,NA,NA,NA
"98","Rest of Eastern Africa","Housing",2004,16.0673886263345,-1.43237212618021,0.278796223635674
"99","Rest of Eastern Europe","Housing",2004,NA,NA,NA
"100","Rest of Europe","Housing",2004,5.79334971729879,0.0522483173370896,0.676834350140972
"101","Rest of Former Soviet Union","Housing",2004,16.6666666666667,0.560819935647858,0.880720000445692
"102","Rest of North Africa","Housing",2004,7.40285321220828,0.249987433551694,0.772546803202862
"103","Rest of North America","Housing",2004,NA,NA,NA
"104","Rest of Oceania","Housing",2004,16.2432305101111,-0.957739638139835,0.411451044267517
"105","Rest of South African Customs Union","Housing",2004,22.7349824966868,-0.894395448952409,0.451343585456366
"106","Rest of South America","Housing",2004,16.6666666666667,0.169044390074167,0.728197583651553
"107","Rest of South Asia","Housing",2004,16.6666666666667,-1.28372536245005,0.339053168256651
"108","Rest of Southeast Asia","Housing",2004,16.6666666666667,-0.752498575480925,0.462992546147631
"109","Rest of Western Africa","Housing",2004,3.73210793603026,-1.52535640377223,0.234427293452724
"110","Rest of Western Asia","Housing",2004,8.84550016483617,0.3823127631778,0.826595470148541
"111","South Central Africa","Housing",2004,16.6666666666667,-1.17540954553344,0.401886061027004
"112","South Korea","Housing",2004,NA,NA,NA
"113","Tanzania","Housing",2004,NA,NA,NA
"114","Venezuela (Bolivarian Republic of)","Housing",2004,NA,NA,NA
"115","Vietnam","Housing",2004,NA,NA,NA
"116","Caribbean","Personal Transportation",2004,NA,NA,NA
"117","Central Africa","Personal Transportation",2004,90,-0.834223124203873,0.05
"118","Cote dIvoire","Personal Transportation",2004,80,-0.681345438305723,0.110970369798166
"119","Iran","Personal Transportation",2004,NA,NA,NA
"120","Laos","Personal Transportation",2004,NA,NA,NA
"121","Rest of Eastern Africa","Personal Transportation",2004,90,-0.639367352711589,0.104399995803833
"122","Rest of Eastern Europe","Personal Transportation",2004,NA,NA,NA
"123","Rest of Europe","Personal Transportation",2004,NA,NA,NA
"124","Rest of Former Soviet Union","Personal Transportation",2004,NA,NA,NA
"125","Rest of North Africa","Personal Transportation",2004,80,1.17740585452946,0.680629614370841
"126","Rest of North America","Personal Transportation",2004,NA,NA,NA
"127","Rest of Oceania","Personal Transportation",2004,NA,NA,NA
"128","Rest of South African Customs Union","Personal Transportation",2004,50,0.28225293940588,0.707601818502312
"129","Rest of South America","Personal Transportation",2004,NA,NA,NA
"130","Rest of South Asia","Personal Transportation",2004,NA,NA,NA
"131","Rest of Southeast Asia","Personal Transportation",2004,NA,NA,NA
"132","Rest of Western Africa","Personal Transportation",2004,85.9198343987568,-0.490827149831844,0.152871684959101
"133","Rest of Western Asia","Personal Transportation",2004,NA,NA,NA
"134","South Central Africa","Personal Transportation",2004,90,-0.948127791652618,0.0182000005245209
"135","South Korea","Personal Transportation",2004,NA,NA,NA
"136","Tanzania","Personal Transportation",2004,NA,NA,NA
"137","Venezuela (Bolivarian Republic of)","Personal Transportation",2004,NA,NA,NA
"138","Vietnam","Personal Transportation",2004,NA,NA,NA
"139","Caribbean","Services",2004,50.0549256058272,-0.194811222528634,0.484342972875714
"140","Central Africa","Services",2004,49.1839395938469,-1.52897647012411,0.28893292524371
"141","Cote dIvoire","Services",2004,NA,NA,NA
"142","Iran","Services",2004,NA,NA,NA
"143","Laos","Services",2004,NA,NA,NA
"144","Rest of Eastern Africa","Services",2004,46.0882033088032,-1.12409375338445,0.324952295151402
"145","Rest of Eastern Europe","Services",2004,NA,NA,NA
"146","Rest of Europe","Services",2004,36.7199781547127,0.151329773348955,0.576201512368246
"147","Rest of Former Soviet Union","Services",2004,26.1588970107637,0.202768683165275,0.594406699124672
"148","Rest of North Africa","Services",2004,18.5139643233194,-0.328286108324613,0.481164674380569
"149","Rest of North America","Services",2004,38.8888888888889,0.718137203929293,0.847328381547668
"150","Rest of Oceania","Services",2004,65.9073757418827,-0.701631072640215,0.299037240964345
"151","Rest of South African Customs Union","Services",2004,30.3133099955824,-0.458233876336175,0.475214440106854
"152","Rest of South America","Services",2004,61.1111111111111,-0.129589274658113,0.504827608966893
"153","Rest of South Asia","Services",2004,50,-1.35978672147348,0.176496086968648
"154","Rest of Southeast Asia","Services",2004,55.343945286955,-0.0507698693187804,0.563127882681955
"155","Rest of Western Africa","Services",2004,36.854748736316,-1.15006287694996,0.324883877259254
"156","Rest of Western Asia","Services",2004,25.3848057127471,-0.190339469254971,0.534664664996493
"157","South Central Africa","Services",2004,72.2222222222222,-0.437526031724998,0.282002760976181
"158","South Korea","Services",2004,NA,NA,NA
"159","Tanzania","Services",2004,NA,NA,NA
"160","Venezuela (Bolivarian Republic of)","Services",2004,NA,NA,NA
"161","Vietnam","Services",2004,NA,NA,NA
"162","Caribbean","Food",2007,53.8044487186259,-0.94899157867066,0.380433696681359
"163","Central Africa","Food",2007,63.6363636363636,-1.44453847009412,0.369844815249103
"164","Cote dIvoire","Food",2007,NA,NA,NA
"165","Iran","Food",2007,NA,NA,NA
"166","Laos","Food",2007,NA,NA,NA
"167","Rest of Eastern Africa","Food",2007,NA,NA,NA
"168","Rest of Eastern Europe","Food",2007,NA,NA,NA
"169","Rest of Europe","Food",2007,41.5470661132231,0.0304536914924327,0.479282660096257
"170","Rest of Former Soviet Union","Food",2007,50.6682205608104,0.0738358784801036,0.54395378531355
"171","Rest of North Africa","Food",2007,36.3636363636364,-0.373933070170094,0.398291233231113
"172","Rest of North America","Food",2007,NA,NA,NA
"173","Rest of Oceania","Food",2007,51.7546144336977,0.0285271192684918,0.559364617867331
"174","Rest of South African Customs Union","Food",2007,60.2981385763398,-0.375518486897771,0.564885089538524
"175","Rest of South America","Food",2007,54.5454545454545,-0.00481719950949367,0.550551943635193
"176","Rest of South Asia","Food",2007,45.4545454545455,-0.75171028277504,0.329273020272288
"177","Rest of Southeast Asia","Food",2007,45.0955391363872,0.0551270217494775,0.464940583467884
"178","Rest of Western Africa","Food",2007,44.7829231873901,-0.538524398302605,0.450758756408239
"179","Rest of Western Asia","Food",2007,53.4029908535773,-0.757043165379295,0.406079721319088
"180","South Central Africa","Food",2007,27.2727272727273,-0.953210056411953,0.385004333209608
"181","South Korea","Food",2007,NA,NA,NA
"182","Tanzania","Food",2007,NA,NA,NA
"183","Venezuela (Bolivarian Republic of)","Food",2007,NA,NA,NA
"184","Vietnam","Food",2007,NA,NA,NA
"185","Caribbean","Goods",2007,NA,NA,NA
"186","Central Africa","Goods",2007,NA,NA,NA
"187","Cote dIvoire","Goods",2007,NA,NA,NA
"188","Iran","Goods",2007,NA,NA,NA
"189","Laos","Goods",2007,NA,NA,NA
"190","Rest of Eastern Africa","Goods",2007,NA,NA,NA
"191","Rest of Eastern Europe","Goods",2007,NA,NA,NA
"192","Rest of Europe","Goods",2007,NA,NA,NA
"193","Rest of Former Soviet Union","Goods",2007,NA,NA,NA
"194","Rest of North Africa","Goods",2007,16.6666666666667,0.0426635330981752,0.467552848604552
"195","Rest of North America","Goods",2007,NA,NA,NA
"196","Rest of Oceania","Goods",2007,NA,NA,NA
"197","Rest of South African Customs Union","Goods",2007,NA,NA,NA
"198","Rest of South America","Goods",2007,NA,NA,NA
"199","Rest of South Asia","Goods",2007,NA,NA,NA
"200","Rest of Southeast Asia","Goods",2007,NA,NA,NA
"201","Rest of Western Africa","Goods",2007,30.4849015066419,-0.30312007431397,0.231056169228848
"202","Rest of Western Asia","Goods",2007,NA,NA,NA
"203","South Central Africa","Goods",2007,16.6666666666667,-0.0752253230763173,0.368569886165752
"204","South Korea","Goods",2007,NA,NA,NA
"205","Tanzania","Goods",2007,NA,NA,NA
"206","Venezuela (Bolivarian Republic of)","Goods",2007,NA,NA,NA
"207","Vietnam","Goods",2007,NA,NA,NA
"208","Caribbean","Government",2007,53.0925463421242,0.690574610569361,0.885454470577434
"209","Central Africa","Government",2007,53.2111377249472,-0.76077808856291,0.39259917391957
"210","Cote dIvoire","Government",2007,NA,NA,NA
"211","Iran","Government",2007,NA,NA,NA
"212","Laos","Government",2007,NA,NA,NA
"213","Rest of Eastern Africa","Government",2007,27.2727272727273,0.0104677716829561,0.571079905255164
"214","Rest of Eastern Europe","Government",2007,NA,NA,NA
"215","Rest of Europe","Government",2007,13.2248326591864,-0.505034620916935,0.472329767770476
"216","Rest of Former Soviet Union","Government",2007,9.09090909090909,-0.42980944308285,0.561682633815783
"217","Rest of North Africa","Government",2007,NA,NA,NA
"218","Rest of North America","Government",2007,NA,NA,NA
"219","Rest of Oceania","Government",2007,19.1731844527606,0.474110550021158,0.62997723917783
"220","Rest of South African Customs Union","Government",2007,NA,NA,NA
"221","Rest of South America","Government",2007,18.1818181818182,-0.366616619042752,0.548558843843669
"222","Rest of South Asia","Government",2007,53.8456694164362,-2.45247746088907,0.478816116505912
"223","Rest of Southeast Asia","Government",2007,45.4545454545455,2.7077518368458,0.736154606775319
"224","Rest of Western Africa","Government",2007,24.2461908806685,-0.467170015474087,0.429063803911216
"225","Rest of Western Asia","Government",2007,12.2503004772151,-0.0263574158003084,0.503597805465731
"226","South Central Africa","Government",2007,NA,NA,NA
"227","South Korea","Government",2007,NA,NA,NA
"228","Tanzania","Government",2007,NA,NA,NA
"229","Venezuela (Bolivarian Republic of)","Government",2007,NA,NA,NA
"230","Vietnam","Government",2007,NA,NA,NA
"231","Caribbean","Gross Fixed Capital Formation",2007,58.4006090525308,-0.040538442881125,0.464534947301088
"232","Central Africa","Gross Fixed Capital Formation",2007,42.6828021718031,-0.965094384923913,0.273010962327072
"233","Cote dIvoire","Gross Fixed Capital Formation",2007,NA,NA,NA
"234","Iran","Gross Fixed Capital Formation",2007,NA,NA,NA
"235","Laos","Gross Fixed Capital Formation",2007,NA,NA,NA
"236","Rest of Eastern Africa","Gross Fixed Capital Formation",2007,53.4371546857626,-0.490777507598418,0.46149806645905
"237","Rest of Eastern Europe","Gross Fixed Capital Formation",2007,NA,NA,NA
"238","Rest of Europe","Gross Fixed Capital Formation",2007,16.0786678304069,-0.0892501073887589,0.397702367347843
"239","Rest of Former Soviet Union","Gross Fixed Capital Formation",2007,29.8209547051567,-0.0389179235853081,0.452294575859302
"240","Rest of North Africa","Gross Fixed Capital Formation",2007,50,-0.0877705341345204,0.466742350642816
"241","Rest of North America","Gross Fixed Capital Formation",2007,83.3333333333333,0.757259018841741,1
"242","Rest of Oceania","Gross Fixed Capital Formation",2007,50,-0.357122012275617,0.39371127874521
"243","Rest of South African Customs Union","Gross Fixed Capital Formation",2007,30.6003963835514,-0.373026127158486,0.238887524867531
"244","Rest of South America","Gross Fixed Capital Formation",2007,33.3333333333333,-0.0236429405647088,0.55217723081407
"245","Rest of South Asia","Gross Fixed Capital Formation",2007,16.6666666666667,0.498900271648839,0.464426662588319
"246","Rest of Southeast Asia","Gross Fixed Capital Formation",2007,49.6709108750216,0.0179288230044228,0.515638590859666
"247","Rest of Western Africa","Gross Fixed Capital Formation",2007,51.7077501424771,-0.103919912244998,0.535098720475692
"248","Rest of Western Asia","Gross Fixed Capital Formation",2007,60.6980752985162,0.38964652261731,0.782315376816495
"249","South Central Africa","Gross Fixed Capital Formation",2007,33.3333333333333,0.0704766147157841,0.401022782963511
"250","South Korea","Gross Fixed Capital Formation",2007,NA,NA,NA
"251","Tanzania","Gross Fixed Capital Formation",2007,NA,NA,NA
"252","Venezuela (Bolivarian Republic of)","Gross Fixed Capital Formation",2007,NA,NA,NA
"253","Vietnam","Gross Fixed Capital Formation",2007,NA,NA,NA
"254","Caribbean","Housing",2007,14.5880053231125,-0.417822068685426,0.562917464785447
"255","Central Africa","Housing",2007,24.6068708431822,-1.78653701465272,0.207092280752231
"256","Cote dIvoire","Housing",2007,NA,NA,NA
"257","Iran","Housing",2007,NA,NA,NA
"258","Laos","Housing",2007,NA,NA,NA
"259","Rest of Eastern Africa","Housing",2007,22.8556405367775,-1.47887741986786,0.277230223524508
"260","Rest of Eastern Europe","Housing",2007,NA,NA,NA
"261","Rest of Europe","Housing",2007,8.38509244008941,0.251204690417601,0.744773937355182
"262","Rest of Former Soviet Union","Housing",2007,24.1396601460431,0.638447065362125,0.902326619509056
"263","Rest of North Africa","Housing",2007,20.6885601579496,0.224792065470935,0.78031165516646
"264","Rest of North America","Housing",2007,NA,NA,NA
"265","Rest of Oceania","Housing",2007,28.2246140434608,-1.03774104937363,0.413793950149916
"266","Rest of South African Customs Union","Housing",2007,28.5714285714286,-0.870483072551415,0.461172085614865
"267","Rest of South America","Housing",2007,28.5714285714286,0.230288255304519,0.765489029522467
"268","Rest of South Asia","Housing",2007,14.2857142857143,-1.01687164404098,0.392713270736343
"269","Rest of Southeast Asia","Housing",2007,28.5714285714286,-0.747085085544391,0.481339406241277
"270","Rest of Western Africa","Housing",2007,9.10240841123082,-1.49665463981495,0.245177192333335
"271","Rest of Western Asia","Housing",2007,14.0582189225843,0.50395562399821,0.858835016986191
"272","South Central Africa","Housing",2007,28.5714285714286,-1.19386777872257,0.42877262732257
"273","South Korea","Housing",2007,NA,NA,NA
"274","Tanzania","Housing",2007,NA,NA,NA
"275","Venezuela (Bolivarian Republic of)","Housing",2007,NA,NA,NA
"276","Vietnam","Housing",2007,NA,NA,NA
"277","Caribbean","Personal Transportation",2007,88.8888888888889,-0.605386743146507,0.498834498834499
"278","Central Africa","Personal Transportation",2007,88.7945760429519,-0.841882364980918,0.260628029723726
"279","Cote dIvoire","Personal Transportation",2007,66.6666666666667,-0.592327565788766,0.222353426540619
"280","Iran","Personal Transportation",2007,88.8888888888889,-0.186359375251665,0.568764568764569
"281","Laos","Personal Transportation",2007,88.8888888888889,-0.8009328481641,0.466200466200466
"282","Rest of Eastern Africa","Personal Transportation",2007,82.4116559495944,-0.803930367094712,0.328438101449933
"283","Rest of Eastern Europe","Personal Transportation",2007,88.8888888888889,-0.884738321743068,0.452214452214452
"284","Rest of Europe","Personal Transportation",2007,88.8888888888889,-0.499968453221189,0.51642740314388
"285","Rest of Former Soviet Union","Personal Transportation",2007,88.8888888888889,-0.8009328481641,0.466200466200466
"286","Rest of North Africa","Personal Transportation",2007,69.9866608226405,0.415303841770637,0.498365286988136
"287","Rest of North America","Personal Transportation",2007,NA,NA,NA
"288","Rest of Oceania","Personal Transportation",2007,88.8888888888889,-0.8009328481641,0.466200466200466
"289","Rest of South African Customs Union","Personal Transportation",2007,76.951970643289,0.1297149040957,0.540579781030426
"290","Rest of South America","Personal Transportation",2007,88.8888888888889,-1.10821958462032,0.414918414918415
"291","Rest of South Asia","Personal Transportation",2007,88.8888888888889,-2.02755170430876,0.261494165467227
"292","Rest of Southeast Asia","Personal Transportation",2007,88.8888888888889,-1.23447938438814,0.393847341037302
"293","Rest of Western Africa","Personal Transportation",2007,67.1003117125077,-0.716726042561876,0.294512461453484
"294","Rest of Western Asia","Personal Transportation",2007,88.8888888888889,-0.78364042827113,0.469086340071786
"295","South Central Africa","Personal Transportation",2007,44.1233960492374,-0.618533905162306,0.382512376631947
"296","South Korea","Personal Transportation",2007,88.8888888888889,1.21039851773114,0.801864801864802
"297","Tanzania","Personal Transportation",2007,77.7777777777778,-0.710951284886128,0.245169198617474
"298","Venezuela (Bolivarian Republic of)","Personal Transportation",2007,88.8888888888889,-0.0885863227428692,0.585081585081585
"299","Vietnam","Personal Transportation",2007,88.8888888888889,-0.102553901672697,0.582750582750583
"300","Caribbean","Services",2007,40.9120804024976,-0.216868252670625,0.48571138380048
"301","Central Africa","Services",2007,55.519306565691,-1.46899504601003,0.326299270519995
"302","Cote dIvoire","Services",2007,NA,NA,NA
"303","Iran","Services",2007,NA,NA,NA
"304","Laos","Services",2007,NA,NA,NA
"305","Rest of Eastern Africa","Services",2007,43.5709705569352,-1.20248535465779,0.43548016724324
"306","Rest of Eastern Europe","Services",2007,NA,NA,NA
"307","Rest of Europe","Services",2007,27.0845766676688,0.297649950127545,0.637526448344971
"308","Rest of Former Soviet Union","Services",2007,23.2956157786015,0.177667971425874,0.61888131388811
"309","Rest of North Africa","Services",2007,30.2123696817591,-0.169610471036284,0.552688104206742
"310","Rest of North America","Services",2007,71.4285714285714,1.82762685619264,0.854068429811755
"311","Rest of Oceania","Services",2007,61.9251401037932,-0.572508972057753,0.398188749911972
"312","Rest of South African Customs Union","Services",2007,39.0629930457891,-0.461742436231712,0.478845713780632
"313","Rest of South America","Services",2007,23.8095238095238,-0.222751919553182,0.513248683448207
"314","Rest of South Asia","Services",2007,38.0952380952381,-1.33031894287857,0.306106962472375
"315","Rest of Southeast Asia","Services",2007,47.7130730833272,-0.100259726673001,0.498806873305692
"316","Rest of Western Africa","Services",2007,30.893327029209,-0.985657634245931,0.387002691881485
"317","Rest of Western Asia","Services",2007,29.396450865693,-0.194313195945314,0.512357700152835
"318","South Central Africa","Services",2007,52.3809523809524,-0.813267373794113,0.30547462273547
"319","South Korea","Services",2007,NA,NA,NA
"320","Tanzania","Services",2007,NA,NA,NA
"321","Venezuela (Bolivarian Republic of)","Services",2007,NA,NA,NA
"322","Vietnam","Services",2007,NA,NA,NA
"323","Caribbean","Food",2011,54.6492511788861,-0.973290371961508,0.41127876690199
"324","Central Africa","Food",2011,60,-1.87321259658481,0.32166141045638
"325","Cote dIvoire","Food",2011,NA,NA,NA
"326","Iran","Food",2011,NA,NA,NA
"327","Laos","Food",2011,NA,NA,NA
"328","Rest of Eastern Africa","Food",2011,60,-0.913770918777018,0.478536307055954
"329","Rest of Eastern Europe","Food",2011,NA,NA,NA
"330","Rest of Europe","Food",2011,38.879126069861,0.158619899134094,0.529890281859209
"331","Rest of Former Soviet Union","Food",2011,51.5351447852367,0.235324179076218,0.56976407336846
"332","Rest of North Africa","Food",2011,40,0.116777973047029,0.475666832301052
"333","Rest of North America","Food",2011,NA,NA,NA
"334","Rest of Oceania","Food",2011,53.4572121506281,-0.00505213683617664,0.570173263580662
"335","Rest of South African Customs Union","Food",2011,53.7359224069566,-0.409124764515561,0.512741493299782
"336","Rest of South America","Food",2011,50,0.079924496595068,0.53608827315983
"337","Rest of South Asia","Food",2011,40,-0.880791166814517,0.322709838679471
"338","Rest of Southeast Asia","Food",2011,50.2025449707879,-0.13605537805458,0.495882245374023
"339","Rest of Western Africa","Food",2011,49.8100981430701,-0.422833349457948,0.496055992149508
"340","Rest of Western Asia","Food",2011,15.0375897334947,-0.452385077237429,0.522693758727768
"341","South Central Africa","Food",2011,50,-0.84921390406726,0.347894534885977
"342","South Korea","Food",2011,NA,NA,NA
"343","Tanzania","Food",2011,NA,NA,NA
"344","Venezuela (Bolivarian Republic of)","Food",2011,NA,NA,NA
"345","Vietnam","Food",2011,NA,NA,NA
"346","Caribbean","Goods",2011,NA,NA,NA
"347","Central Africa","Goods",2011,44.4444444444444,-0.641599019650727,0.22650987182845
"348","Cote dIvoire","Goods",2011,NA,NA,NA
"349","Iran","Goods",2011,NA,NA,NA
"350","Laos","Goods",2011,NA,NA,NA
"351","Rest of Eastern Africa","Goods",2011,44.4444444444444,-0.169724463978683,0.384404825021942
"352","Rest of Eastern Europe","Goods",2011,NA,NA,NA
"353","Rest of Europe","Goods",2011,NA,NA,NA
"354","Rest of Former Soviet Union","Goods",2011,NA,NA,NA
"355","Rest of North Africa","Goods",2011,NA,NA,NA
"356","Rest of North America","Goods",2011,NA,NA,NA
"357","Rest of Oceania","Goods",2011,NA,NA,NA
"358","Rest of South African Customs Union","Goods",2011,NA,NA,NA
"359","Rest of South America","Goods",2011,NA,NA,NA
"360","Rest of South Asia","Goods",2011,NA,NA,NA
"361","Rest of Southeast Asia","Goods",2011,NA,NA,NA
"362","Rest of Western Africa","Goods",2011,44.4444444444444,0.483532893730306,0.559703564465727
"363","Rest of Western Asia","Goods",2011,NA,NA,NA
"364","South Central Africa","Goods",2011,NA,NA,NA
"365","South Korea","Goods",2011,NA,NA,NA
"366","Tanzania","Goods",2011,NA,NA,NA
"367","Venezuela (Bolivarian Republic of)","Goods",2011,NA,NA,NA
"368","Vietnam","Goods",2011,NA,NA,NA
"369","Caribbean","Government",2011,57.7105053508975,0.763493947023728,0.89817552401759
"370","Central Africa","Government",2011,37.8599255413737,-0.972621999138149,0.422915259803867
"371","Cote dIvoire","Government",2011,NA,NA,NA
"372","Iran","Government",2011,NA,NA,NA
"373","Laos","Government",2011,NA,NA,NA
"374","Rest of Eastern Africa","Government",2011,29.452928804447,-1.14677821482127,0.379502361950782
"375","Rest of Eastern Europe","Government",2011,NA,NA,NA
"376","Rest of Europe","Government",2011,14.7568861563109,-0.333892693339197,0.468653861653349
"377","Rest of Former Soviet Union","Government",2011,16.6666666666667,-0.211923655887681,0.492757843005731
"378","Rest of North Africa","Government",2011,NA,NA,NA
