"","country","year","ZScore_Index","CLUM_category","MaxMin_Index","NAPercent"
"251","Belize",2007,0.596844332018746,"Food",0.949367088607595,0
"252","Benin",2007,-0.0664290691679292,"Food",0.804701627486438,0
"253","Bermuda",2007,NA,"Food",NA,100
"254","Bhutan",2007,NA,"Food",NA,100
"255","Bolivia (Plurinational State of)",2007,-1.28519394384845,"Food",0.538878842676311,0
"256","Bosnia and Herzegovina",2007,0.804117269889582,"Food",0.994575045207957,0
"257","Botswana",2007,-1.64999431450112,"Food",0.459312839059675,0
"258","Brazil",2007,0.770953599830248,"Food",0.987341772151899,0
"259","British Virgin Islands",2007,NA,"Food",NA,100
"260","Brunei Darussalam",2007,0.812408187404415,"Food",0.996383363471971,0
"261","Bulgaria",2007,0.530516991900078,"Food",0.934900542495479,0
"262","Burkina Faso",2007,-0.920393573195774,"Food",0.618444846292947,0
"263","Burundi",2007,NA,"Food",NA,100
"264","Cabo Verde",2007,-0.124465491771764,"Food",0.792043399638336,0
"265","Cambodia",2007,-0.522429532483769,"Food",0.705244122965642,0
"266","Cameroon",2007,-0.3068656770981,"Food",0.752260397830018,0
"267","Canada",2007,0.828990022434082,"Food",1,0
"268","Cayman Islands",2007,NA,"Food",NA,100
"269","Central African Republic",2007,-1.91530367497579,"Food",0.401446654611212,0
"270","Chad",2007,-2.30497679817296,"Food",0.316455696202532,0
"271","Channel Islands",2007,NA,"Food",NA,100
"272","Chile",2007,0.712917177226414,"Food",0.974683544303797,0
"273","China",2007,-0.141047326801431,"Food",0.788426763110307,0
"274","China, Hong Kong Special Administrative Region",2007,0.828990022434082,"Food",1,0
"275","Christmas Island",2007,NA,"Food",NA,100
"276","Cocos (Keeling) Islands",2007,NA,"Food",NA,100
"277","Colombia",2007,0.265207631425409,"Food",0.877034358047016,0
"278","Comoros",2007,NA,"Food",NA,100
"279","Congo",2007,-2.46250423095479,"Food",0.282097649186257,0
"280","Cook Islands",2007,NA,"Food",NA,100
"281","Costa Rica",2007,0.621717084563246,"Food",0.954792043399638,0
"282","Côte d'Ivoire",2007,-0.663375130235937,"Food",0.674502712477396,0
"283","Croatia",2007,0.828990022434082,"Food",1,0
"284","Cuba",2007,0.828990022434082,"Food",1,0
"285","Curaçao",2007,NA,"Food",NA,100
"286","Cyprus",2007,0.613426167048413,"Food",0.952983725135624,0
"287","Czechia",2007,0.828990022434082,"Food",1,0
"288","Democratic People's Republic of Korea",2007,-2.22206762302462,"Food",0.334538878842676,0
"289","Democratic Republic of the Congo",2007,NA,"Food",NA,100
"290","Denmark",2007,0.828990022434082,"Food",1,0
"291","Djibouti",2007,-1.08621192349244,"Food",0.582278481012658,0
"292","Dominica",2007,0.613426167048413,"Food",0.952983725135624,0
"293","Dominican Republic",2007,-0.696538800295271,"Food",0.667269439421338,0
"294","Ecuador",2007,-0.257120172009099,"Food",0.763110307414105,0
"295","Egypt",2007,0.638298919592914,"Food",0.958408679927667,0
"296","El Salvador",2007,0.12426203367324,"Food",0.84629294755877,0
"297","Equatorial Guinea",2007,NA,"Food",NA,100
"298","Eritrea",2007,NA,"Food",NA,100
"299","Estonia",2007,0.770953599830248,"Food",0.987341772151899,0
"300","Eswatini",2007,-0.721411552839772,"Food",0.661844484629295,0
"301","Ethiopia",2007,-2.04795835521312,"Food",0.37251356238698,0
"302","Faroe Islands",2007,NA,"Food",NA,100
"303","Fiji",2007,0.679753507167081,"Food",0.96745027124774,0
"304","Finland",2007,0.828990022434082,"Food",1,0
"305","France",2007,0.828990022434082,"Food",1,0
"306","French Guiana",2007,NA,"Food",NA,100
"307","French Polynesia",2007,0.704626259711581,"Food",0.972875226039783,0
"308","Gabon",2007,0.107680198643573,"Food",0.842676311030741,0
"309","Gambia",2007,-0.0332653991085955,"Food",0.811934900542496,0
"310","Georgia",2007,0.472480569296245,"Food",0.922242314647378,0
"311","Germany",2007,0.828990022434082,"Food",1,0
"312","Ghana",2007,0.431025981722077,"Food",0.913200723327306,0
"313","Gibraltar",2007,NA,"Food",NA,100
"314","Greece",2007,0.828990022434082,"Food",1,0
"315","Greenland",2007,NA,"Food",NA,100
"316","Grenada",2007,NA,"Food",NA,100
"317","Guadeloupe",2007,NA,"Food",NA,100
"318","Guam",2007,NA,"Food",NA,100
"319","Guatemala",2007,-0.265411089523932,"Food",0.76130198915009,0
"320","Guinea",2007,-0.563884120057936,"Food",0.69620253164557,0
"321","Guinea-Bissau",2007,-0.928684490710608,"Food",0.616636528028933,0
"322","Guyana",2007,0.157425703732573,"Food",0.853526220614828,0
"323","Haiti",2007,-3.48228708527931,"Food",0.0596745027124773,0
"324","Honduras",2007,-0.265411089523932,"Food",0.76130198915009,0
"325","Hungary",2007,0.828990022434082,"Food",1,0
"326","Iceland",2007,0.828990022434082,"Food",1,0
"327","India",2007,-0.555593202543103,"Food",0.698010849909584,0
"328","Indonesia",2007,-0.439520357335434,"Food",0.723327305605787,0
"329","Iran (Islamic Republic of)",2007,0.497353321840745,"Food",0.927667269439421,0
"330","Iraq",2007,-1.45101229414511,"Food",0.502712477396022,0
"331","Ireland",2007,0.828990022434082,"Food",1,0
"332","Isle of Man",2007,NA,"Food",NA,100
"333","Israel",2007,0.828990022434082,"Food",1,0
"334","Italy",2007,0.828990022434082,"Food",1,0
"335","Jamaica",2007,0.397862311662743,"Food",0.905967450271248,0
"336","Japan",2007,0.828990022434082,"Food",1,0
"337","Jordan",2007,0.447607816751744,"Food",0.916817359855335,0
"338","Kazakhstan",2007,0.679753507167081,"Food",0.96745027124774,0
"339","Kenya",2007,-1.08621192349244,"Food",0.582278481012658,0
"340","Kiribati",2007,0.65488075462258,"Food",0.962025316455696,0
"341","Kuwait",2007,0.828990022434082,"Food",1,0
"342","Kyrgyzstan",2007,0.190589373791907,"Food",0.860759493670886,0
"343","Lao People's Democratic Republic",2007,-1.01159366585894,"Food",0.598553345388788,0
"344","Latvia",2007,0.828990022434082,"Food",1,0
"345","Lebanon",2007,0.754371764800582,"Food",0.98372513562387,0
"346","Lesotho",2007,0.0413528585249053,"Food",0.828209764918626,0
"347","Liberia",2007,-2.13086753036146,"Food",0.354430379746835,0
"348","Libya",2007,NA,"Food",NA,100
"349","Liechtenstein",2007,NA,"Food",NA,100
"350","Lithuania",2007,0.828990022434082,"Food",1,0
"351","Luxembourg",2007,0.828990022434082,"Food",1,0
"352","Madagascar",2007,-1.64999431450112,"Food",0.459312839059675,0
"353","Malawi",2007,-0.887229903136441,"Food",0.625678119349005,0
"354","Malaysia",2007,0.688044424681914,"Food",0.969258589511754,0
"355","Maldives",2007,-0.373193017216767,"Food",0.737793851717902,0
"356","Mali",2007,0.323244054029242,"Food",0.889692585895117,0
"357","Malta",2007,0.828990022434082,"Food",1,0
"358","Marshall Islands",2007,NA,"Food",NA,100
"359","Martinique",2007,NA,"Food",NA,100
"360","Mauritania",2007,0.190589373791907,"Food",0.860759493670886,0
"361","Mauritius",2007,0.621717084563246,"Food",0.954792043399638,0
"362","Mayotte",2007,NA,"Food",NA,100
"363","Mexico",2007,0.646589837107747,"Food",0.960216998191682,0
"364","Micronesia",2007,NA,"Food",NA,100
"365","Mongolia",2007,-1.16912109864078,"Food",0.564195298372513,0
"366","Montenegro",2007,0.828990022434082,"Food",1,0
"367","Montserrat",2007,NA,"Food",NA,100
"368","Morocco",2007,0.580262496989079,"Food",0.945750452079566,0
"369","Mozambique",2007,-1.86555816988679,"Food",0.412296564195298,0
"370","Myanmar",2007,-1.02817550088861,"Food",0.594936708860759,0
"371","Namibia",2007,-1.40955770657095,"Food",0.511754068716094,0
"372","Nauru",2007,NA,"Food",NA,100
"373","Nepal",2007,-0.124465491771764,"Food",0.792043399638336,0
"374","Netherlands",2007,0.828990022434082,"Food",1,0
"375","New Caledonia",2007,0.356407724088576,"Food",0.896925858951175,0
"376","New Zealand",2007,0.828990022434082,"Food",1,0
"377","Nicaragua",2007,-0.83748439804744,"Food",0.636528028933092,0
"378","Niger",2007,-0.0830109041975963,"Food",0.801084990958409,0
"379","Nigeria",2007,0.538807909414912,"Food",0.936708860759494,0
"380","Niue",2007,NA,"Food",NA,100
"381","Norfolk Island",2007,NA,"Food",NA,100
"382","North Macedonia",2007,0.663171672137414,"Food",0.963833634719711,0
"383","Northern Mariana Islands",2007,NA,"Food",NA,100
"384","Norway",2007,0.828990022434082,"Food",1,0
"385","Oman",2007,0.348116806573743,"Food",0.895117540687161,0
"386","Pakistan",2007,-0.762866140413939,"Food",0.652802893309222,0
"387","Palau",2007,NA,"Food",NA,100
"388","Panama",2007,-0.480974944909601,"Food",0.714285714285714,0
"389","Papua New Guinea",2007,NA,"Food",NA,100
"390","Paraguay",2007,-0.00839264656409543,"Food",0.817359855334539,0
"391","Peru",2007,-0.265411089523932,"Food",0.76130198915009,0
"392","Philippines",2007,-0.132756409286597,"Food",0.790235081374322,0
"393","Pitcairn",2007,NA,"Food",NA,100
"394","Poland",2007,0.828990022434082,"Food",1,0
"395","Portugal",2007,0.828990022434082,"Food",1,0
"396","Puerto Rico",2007,NA,"Food",NA,100
"397","Qatar",2007,NA,"Food",NA,100
"398","Republic of Korea",2007,0.828990022434082,"Food",1,0
"399","Republic of Moldova",2007,NA,"Food",NA,100
"400","Réunion",2007,NA,"Food",NA,100
"401","Romania",2007,0.828990022434082,"Food",1,0
"402","Russian Federation",2007,0.828990022434082,"Food",1,0
"403","Rwanda",2007,-2.44592239592513,"Food",0.285714285714286,0
"404","Saint Helena",2007,NA,"Food",NA,100
"405","Saint Kitts and Nevis",2007,NA,"Food",NA,100
"406","Saint Lucia",2007,NA,"Food",NA,100
"407","Saint Martin (French Part)",2007,NA,"Food",NA,100
"408","Saint Pierre and Miquelon",2007,NA,"Food",NA,100
"409","Saint Vincent and the Grenadines",2007,0.38957139414791,"Food",0.904159132007233,0
"410","Samoa",2007,0.737789929770915,"Food",0.980108499095841,0
"411","Sao Tome and Principe",2007,0.198880291306741,"Food",0.862567811934901,0
"412","Saudi Arabia",2007,0.397862311662743,"Food",0.905967450271248,0
"413","Senegal",2007,-0.364902099701933,"Food",0.739602169981917,0
"414","Serbia",2007,0.538807909414912,"Food",0.936708860759494,0
"415","Seychelles",2007,NA,"Food",NA,100
"416","Sierra Leone",2007,-1.63341247947145,"Food",0.462929475587703,0
"417","Singapore",2007,NA,"Food",NA,100
"418","Sint Maarten (Dutch part)",2007,NA,"Food",NA,100
"419","Slovakia",2007,0.547098826929746,"Food",0.938517179023508,0
"420","Slovenia",2007,0.828990022434082,"Food",1,0
"421","Solomon Islands",2007,0.107680198643573,"Food",0.842676311030741,0
"422","Somalia",2007,NA,"Food",NA,100
"423","South Africa",2007,0.65488075462258,"Food",0.962025316455696,0
"424","South Sudan",2007,NA,"Food",NA,100
"425","Spain",2007,0.828990022434082,"Food",1,0
"426","Sri Lanka",2007,-0.3317384296426,"Food",0.746835443037975,0
"427","State of Palestine",2007,NA,"Food",NA,100
"428","Sudan",2007,NA,"Food",NA,100
"429","Suriname",2007,0.232043961366074,"Food",0.869801084990958,0
"430","Sweden",2007,0.828990022434082,"Food",1,0
"431","Switzerland",2007,0.828990022434082,"Food",1,0
"432","Syrian Arab Republic",2007,NA,"Food",NA,100
"433","Tajikistan",2007,NA,"Food",NA,100
"434","Thailand",2007,0.182298456277074,"Food",0.858951175406872,0
"435","Timor-Leste",2007,-1.57537605686762,"Food",0.475587703435805,0
"436","Togo",2007,-0.945266325740274,"Food",0.613019891500904,0
"437","Tokelau",2007,NA,"Food",NA,100
"438","Tonga",2007,NA,"Food",NA,100
"439","Trinidad and Tobago",2007,0.14913478621774,"Food",0.851717902350814,0
"440","Tunisia",2007,0.588553414503913,"Food",0.94755877034358,0
"441","Turkey",2007,0.828990022434082,"Food",1,0
"442","Turkmenistan",2007,0.671462589652247,"Food",0.965641952983725,0
"443","Turks and Caicos Islands",2007,NA,"Food",NA,100
"444","Tuvalu",2007,NA,"Food",NA,100
"445","Uganda",2007,-1.29348486136328,"Food",0.537070524412297,0
"446","Ukraine",2007,0.828990022434082,"Food",1,0
"447","United Arab Emirates",2007,0.571971579474246,"Food",0.943942133815551,0
"448","United Kingdom of Great Britain and Northern Ireland",2007,0.828990022434082,"Food",1,0
"449","United Republic of Tanzania",2007,-1.71632165461979,"Food",0.444846292947559,0
"450","United States of America",2007,0.828990022434082,"Food",1,0
"451","Uruguay",2007,0.746080847285748,"Food",0.981916817359855,0
"452","Uzbekistan",2007,0.115971116158406,"Food",0.844484629294756,0
