"indicator","series","seriesDescription","seriesCount","timePeriodStart"
"8250",1.5.2 11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),1059,2007
"8251",1.5.2 11.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),1059,2011
"8402",1.5.2 11.5.2,VC_DSR_LSGP,Direct economic loss attributed to disasters relative to GDP (%),1049,2007
"8403",1.5.2 11.5.2,VC_DSR_LSGP,Direct economic loss attributed to disasters relative to GDP (%),1049,2011
"8554",1.5.2 11.5.2,VC_DSR_AGLH,Direct agriculture loss attributed to disasters (current United States dollars),564,2007
"8555",1.5.2 11.5.2,VC_DSR_AGLH,Direct agriculture loss attributed to disasters (current United States dollars),564,2011
"8628",1.5.2 11.5.2,VC_DSR_HOLH,Direct economic loss in the housing sector attributed to disasters (current United States dollars),957,2007
"8629",1.5.2 11.5.2,VC_DSR_HOLH,Direct economic loss in the housing sector attributed to disasters (current United States dollars),957,2011
"8767",1.5.2 11.5.2,VC_DSR_CILN,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),555,2007
"8768",1.5.2 11.5.2,VC_DSR_CILN,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),555,2011
"8843",1.5.2 11.5.2,VC_DSR_CHLN,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),41,2007
"8844",1.5.2 11.5.2,VC_DSR_CHLN,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),41,2011
"8846",1.5.2 11.5.2,VC_DSR_DDPA,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),103,2007
"8847",1.5.2 11.5.2,VC_DSR_DDPA,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),103,2011
"8857",1.a.1,DC_ODA_POVLG,Official development assistance grants for poverty reduction; by recipient countries (percentage of GNI),2547,2011
"8858",1.a.1,DC_ODA_POVLG,Official development assistance grants for poverty reduction; by recipient countries (percentage of GNI),2547,2004
"8859",1.a.1,DC_ODA_POVLG,Official development assistance grants for poverty reduction; by recipient countries (percentage of GNI),2547,2007
"9264",1.a.1,DC_ODA_POVDLG,Official development assistance grants for poverty reduction; by donor countries (percentage of GNI),510,2004
"9265",1.a.1,DC_ODA_POVDLG,Official development assistance grants for poverty reduction; by donor countries (percentage of GNI),510,2007
"9266",1.a.1,DC_ODA_POVDLG,Official development assistance grants for poverty reduction; by donor countries (percentage of GNI),510,2011
"9335",1.a.1,DC_ODA_POVG,Official development assistance grants for poverty reduction (percentage of GNI),589,2004
"9336",1.a.1,DC_ODA_POVG,Official development assistance grants for poverty reduction (percentage of GNI),589,2007
"9337",1.a.1,DC_ODA_POVG,Official development assistance grants for poverty reduction (percentage of GNI),589,2011
"9428",1.a.2,SD_XPD_ESED,Proportion of total government spending on essential services; education (%),2044,2011
"9429",1.a.2,SD_XPD_ESED,Proportion of total government spending on essential services; education (%),2044,2004
"9430",1.a.2,SD_XPD_ESED,Proportion of total government spending on essential services; education (%),2044,2007
"9765",10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),1715,2011
"9766",10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),1715,2004
"9767",10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),1715,2007
"9984",10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),2926,2004
"9985",10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),2926,2007
"9986",10.4.1,SL_EMP_GTOTL,Labour share of GDP (%),2926,2011
"10611",10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),1426,2011
"10615",10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),1426,2007
"10629",10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),1426,2004
"10779",10.5.1,FI_FSI_FSERA,Return on assets (%),1452,2011
"10783",10.5.1,FI_FSI_FSERA,Return on assets (%),1452,2007
"10796",10.5.1,FI_FSI_FSERA,Return on assets (%),1452,2004
"10949",10.5.1,FI_FSI_FSKA,Regulatory capital to assets (%),1371,2011
"10953",10.5.1,FI_FSI_FSKA,Regulatory capital to assets (%),1371,2007
"10967",10.5.1,FI_FSI_FSKA,Regulatory capital to assets (%),1371,2004
"11109",10.5.1,FI_FSI_FSKNL,Non-performing loans net of provisions to capital (%),1429,2011
"11113",10.5.1,FI_FSI_FSKNL,Non-performing loans net of provisions to capital (%),1429,2007
"11127",10.5.1,FI_FSI_FSKNL,Non-performing loans net of provisions to capital (%),1429,2004
"11277",10.5.1,FI_FSI_FSKRTC,Regulatory Tier 1 capital to risk-weighted assets (%),1427,2011
"11281",10.5.1,FI_FSI_FSKRTC,Regulatory Tier 1 capital to risk-weighted assets (%),1427,2007
"11295",10.5.1,FI_FSI_FSKRTC,Regulatory Tier 1 capital to risk-weighted assets (%),1427,2004
"11443",10.5.1,FI_FSI_FSLS,Liquid assets to short term liabilities (%),1343,2011
"11447",10.5.1,FI_FSI_FSLS,Liquid assets to short term liabilities (%),1343,2007
"11460",10.5.1,FI_FSI_FSLS,Liquid assets to short term liabilities (%),1343,2004
"11595",10.5.1,FI_FSI_FSSNO,Net open position in foreign exchange to capital (%),1120,2011
"11599",10.5.1,FI_FSI_FSSNO,Net open position in foreign exchange to capital (%),1120,2007
"11610",10.5.1,FI_FSI_FSSNO,Net open position in foreign exchange to capital (%),1120,2004
"11720",10.7.4,SM_POP_REFG_OR,Proportion of the population who are refugees; by country of origin (%),5880,2004
"11721",10.7.4,SM_POP_REFG_OR,Proportion of the population who are refugees; by country of origin (%),5880,2007
"11722",10.7.4,SM_POP_REFG_OR,Proportion of the population who are refugees; by country of origin (%),5880,2011
"12602",10.b.1,DC_TRF_TOTDL,Total assistance for development; by donor countries (millions of current United States dollars),787,2004
"12603",10.b.1,DC_TRF_TOTDL,Total assistance for development; by donor countries (millions of current United States dollars),787,2007
"12604",10.b.1,DC_TRF_TOTDL,Total assistance for development; by donor countries (millions of current United States dollars),787,2011
"12722",10.b.1,DC_TRF_TOTL,Total assistance for development; by recipient countries (millions of current United States dollars),2814,2004
"12723",10.b.1,DC_TRF_TOTL,Total assistance for development; by recipient countries (millions of current United States dollars),2814,2007
"12724",10.b.1,DC_TRF_TOTL,Total assistance for development; by recipient countries (millions of current United States dollars),2814,2011
"13170",10.b.1,DC_TRF_TFDV,Total resource flows for development; by recipient and donor countries (millions of current United States dollars),627,2004
"13171",10.b.1,DC_TRF_TFDV,Total resource flows for development; by recipient and donor countries (millions of current United States dollars),627,2007
"13172",10.b.1,DC_TRF_TFDV,Total resource flows for development; by recipient and donor countries (millions of current United States dollars),627,2011
"13269",10.c.1,SI_RMT_COST,Remittance costs as a proportion of the amount remitted (%),529,2011
"15373",11.5.2,VC_DSR_CDAN,Number of damaged critical infrastructure attributed to disasters (number),481,2007
"15374",11.5.2,VC_DSR_CDAN,Number of damaged critical infrastructure attributed to disasters (number),481,2011
"15441",11.5.2,VC_DSR_HFDN,Number of destroyed or damaged health facilities attributed to disasters (number),291,2011
"15442",11.5.2,VC_DSR_HFDN,Number of destroyed or damaged health facilities attributed to disasters (number),291,2007
"15484",11.5.2,VC_DSR_EFDN,Number of destroyed or damaged educational facilities attributed to disasters (number),409,2007
"15485",11.5.2,VC_DSR_EFDN,Number of destroyed or damaged educational facilities attributed to disasters (number),409,2011
"15537",11.5.2,VC_DSR_CDYN,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number),149,2007
"15539",11.5.2,VC_DSR_CDYN,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number),149,2011
"15550",11.5.2,VC_DSR_BSDN,Number of disruptions to basic services attributed to disasters (number),650,2007
"15551",11.5.2,VC_DSR_BSDN,Number of disruptions to basic services attributed to disasters (number),650,2011
"15642",11.5.2,VC_DSR_ESDN,Number of disruptions to educational services attributed to disasters (number),570,2007
"15643",11.5.2,VC_DSR_ESDN,Number of disruptions to educational services attributed to disasters (number),570,2011
"15722",11.5.2,VC_DSR_HSDN,Number of disruptions to health services attributed to disasters (number),490,2007
"15723",11.5.2,VC_DSR_HSDN,Number of disruptions to health services attributed to disasters (number),490,2011
"15796",11.5.2,VC_DSR_OBDN,Number of disruptions to other basic services attributed to disasters (number),911,2007
"15797",11.5.2,VC_DSR_OBDN,Number of disruptions to other basic services attributed to disasters (number),911,2011
"15913",11.6.1,EN_REF_WASCOL,Municipal Solid Waste collection coverage; by cities (%),261,2007
"15914",11.6.1,EN_REF_WASCOL,Municipal Solid Waste collection coverage; by cities (%),261,2011
"15921",11.6.1,EN_REF_WASCOL,Municipal Solid Waste collection coverage; by cities (%),261,2004
"15942",12.2.1 8.4.1,EN_MAT_FTPRPG,Material footprint per unit of GDP; by type of raw material (kilograms per constant 2010 United States dollar),18,2004
"15943",12.2.1 8.4.1,EN_MAT_FTPRPG,Material footprint per unit of GDP; by type of raw material (kilograms per constant 2010 United States dollar),18,2007
"15944",12.2.1 8.4.1,EN_MAT_FTPRPG,Material footprint per unit of GDP; by type of raw material (kilograms per constant 2010 United States dollar),18,2011
"15945",12.2.1 8.4.1,EN_MAT_FTPRPC,Material footprint per capita; by type of raw material (tonnes),18,2004
"15946",12.2.1 8.4.1,EN_MAT_FTPRPC,Material footprint per capita; by type of raw material (tonnes),18,2007
"15947",12.2.1 8.4.1,EN_MAT_FTPRPC,Material footprint per capita; by type of raw material (tonnes),18,2011
"15948",12.2.1 8.4.1,EN_MAT_FTPRTN,Material footprint; by type of raw material (tonnes),18,2004
"15949",12.2.1 8.4.1,EN_MAT_FTPRTN,Material footprint; by type of raw material (tonnes),18,2007
"15950",12.2.1 8.4.1,EN_MAT_FTPRTN,Material footprint; by type of raw material (tonnes),18,2011
"15951",12.2.2 8.4.2,EN_MAT_DOMCMPT,Domestic material consumption; by type of raw material (tonnes),59595,2004
"15966",12.2.2 8.4.2,EN_MAT_DOMCMPT,Domestic material consumption; by type of raw material (tonnes),59595,2007
"15981",12.2.2 8.4.2,EN_MAT_DOMCMPT,Domestic material consumption; by type of raw material (tonnes),59595,2011
"25862",12.2.2 8.4.2,EN_MAT_DOMCMPG,Domestic material consumption per unit of GDP; by type of raw material (kilograms per constant 2010 United States dollars),59497,2004
"25877",12.2.2 8.4.2,EN_MAT_DOMCMPG,Domestic material consumption per unit of GDP; by type of raw material (kilograms per constant 2010 United States dollars),59497,2007
"25892",12.2.2 8.4.2,EN_MAT_DOMCMPG,Domestic material consumption per unit of GDP; by type of raw material (kilograms per constant 2010 United States dollars),59497,2011
"35756",12.2.2 8.4.2,EN_MAT_DOMCMPC,Domestic material consumption per capita; by type of raw material (tonnes),59497,2004
"35771",12.2.2 8.4.2,EN_MAT_DOMCMPC,Domestic material consumption per capita; by type of raw material (tonnes),59497,2007
"35786",12.2.2 8.4.2,EN_MAT_DOMCMPC,Domestic material consumption per capita; by type of raw material (tonnes),59497,2011
"45650",12.4.2,EN_EWT_GENV,Electronic waste generated (Tonnes),4220,2004
"45651",12.4.2,EN_EWT_GENV,Electronic waste generated (Tonnes),4220,2007
"45652",12.4.2,EN_EWT_GENV,Electronic waste generated (Tonnes),4220,2011
"46283",12.4.2,EN_EWT_GENPCAP,Electronic waste generated; per capita (Kg),4220,2004
"46284",12.4.2,EN_EWT_GENPCAP,Electronic waste generated; per capita (Kg),4220,2007
"46285",12.4.2,EN_EWT_GENPCAP,Electronic waste generated; per capita (Kg),4220,2011
"46916",12.4.2 12.5.1,EN_EWT_RCYV,Electronic waste recycling (Tonnes),660,2011
"46965",12.4.2 12.5.1,EN_EWT_RCYR,Electronic waste recycling; rate (%),141,2011
"46972",12.4.2 12.5.1,EN_EWT_RCYPCAP,Electronic waste recycling; per capita (Kg),660,2011
"47021",12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),768,2007
"47022",12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),768,2004
"47024",12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),768,2011
"47146",12.4.2,EN_HAZ_PCAP,Hazardous waste generated; per capita (Kg),769,2007
"47147",12.4.2,EN_HAZ_PCAP,Hazardous waste generated; per capita (Kg),769,2004
"47149",12.4.2,EN_HAZ_PCAP,Hazardous waste generated; per capita (Kg),769,2011
"47272",12.4.2,EN_HAZ_GENGDP,Hazardous waste generated; per unit of GDP (kilograms per constant 2015 United States dollars),680,2007
"47273",12.4.2,EN_HAZ_GENGDP,Hazardous waste generated; per unit of GDP (kilograms per constant 2015 United States dollars),680,2004
"47275",12.4.2,EN_HAZ_GENGDP,Hazardous waste generated; per unit of GDP (kilograms per constant 2015 United States dollars),680,2011
"47386",12.4.2,EN_HAZ_TREATV,Hazardous waste treated; by type of treatment (Tonnes),1410,2007
"47387",12.4.2,EN_HAZ_TREATV,Hazardous waste treated; by type of treatment (Tonnes),1410,2011
"47388",12.4.2,EN_HAZ_TREATV,Hazardous waste treated; by type of treatment (Tonnes),1410,2004
"47598",12.4.2,EN_HAZ_TRTDISR,Hazardous waste treated or disposed; rate (%),582,2004
"47599",12.4.2,EN_HAZ_TRTDISR,Hazardous waste treated or disposed; rate (%),582,2007
"47600",12.4.2,EN_HAZ_TRTDISR,Hazardous waste treated or disposed; rate (%),582,2011
"47690",12.4.2,EN_HAZ_TRTDISV,Hazardous waste treated or disposed (Tonnes),618,2004
"47692",12.4.2,EN_HAZ_TRTDISV,Hazardous waste treated or disposed (Tonnes),618,2007
"47693",12.4.2,EN_HAZ_TRTDISV,Hazardous waste treated or disposed (Tonnes),618,2011
"47893",7.b.1 12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),3952,2004
"47894",7.b.1 12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),3952,2007
"47895",7.b.1 12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),3952,2011
"48517",12.b.1,ST_EEV_STDACCT,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),1232,2011
"48629",12.b.1,ST_EEV_ACCSEEA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),1232,2011
"48741",12.b.1,ST_EEV_ACCTSA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),1232,2011
"50267",13.2.2,EN_ATM_GHGT_AIP,Total greenhouse gas emissions without LULUCF for Annex I Parties (Mt CO2 equivalent),1247,2004
"50268",13.2.2,EN_ATM_GHGT_AIP,Total greenhouse gas emissions without LULUCF for Annex I Parties (Mt CO2 equivalent),1247,2007
"50269",13.2.2,EN_ATM_GHGT_AIP,Total greenhouse gas emissions without LULUCF for Annex I Parties (Mt CO2 equivalent),1247,2011
"50396",13.2.2,EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO2 equivalent),543,2004
"50397",13.2.2,EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO2 equivalent),543,2007
"50400",13.2.2,EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO2 equivalent),543,2011
"50477",14.1.1,EN_MAR_CHLDEV,Chlorophyll-a deviations; remote sensing (%),3128,2007
"50478",14.1.1,EN_MAR_CHLDEV,Chlorophyll-a deviations; remote sensing (%),3128,2011
"50890",14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,130,2011
"50897",14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),51,2004
"50898",14.4.1,ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),51,2011
"50899",14.5.1,ER_MRN_MARINT,Protected marine area (Exclusive Economic Zones) (square kilometres),434,2004
"50900",14.5.1,ER_MRN_MARINT,Protected marine area (Exclusive Economic Zones) (square kilometres),434,2007
"50901",14.5.1,ER_MRN_MARINT,Protected marine area (Exclusive Economic Zones) (square kilometres),434,2011
"50935",14.5.1,ER_MRN_MARIN,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (%),432,2004
"50936",14.5.1,ER_MRN_MARIN,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (%),432,2007
"50937",14.5.1,ER_MRN_MARIN,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (%),432,2011
"50971",14.5.1,ER_MRN_MPA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),3800,2004
"50972",14.5.1,ER_MRN_MPA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),3800,2007
"50973",14.5.1,ER_MRN_MPA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),3800,2011
"51546",14.7.1,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP,5292,2011
"52423",15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),3540,2004
"52424",15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),3540,2007
"52425",15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),3540,2011
"52954",15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),4820,2004
"52955",15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),4820,2007
"52956",15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),4820,2011
"53677",15.4.1,ER_PTD_MTN,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),3940,2004
"53678",15.4.1,ER_PTD_MTN,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),3940,2007
"53679",15.4.1,ER_PTD_MTN,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),3940,2011
"54268",15.5.1,ER_RSK_LST,Red List Index,6916,2004
"54269",15.5.1,ER_RSK_LST,Red List Index,6916,2007
"54270",15.5.1,ER_RSK_LST,Red List Index,6916,2011
"55009",15.a.1 15.b.1,DC_ODA_BDVDL,Total official development assistance for biodiversity; by donor countries (millions of constant 2018 United States dollars),966,2004
"55010",15.a.1 15.b.1,DC_ODA_BDVDL,Total official development assistance for biodiversity; by donor countries (millions of constant 2018 United States dollars),966,2007
"55011",15.a.1 15.b.1,DC_ODA_BDVDL,Total official development assistance for biodiversity; by donor countries (millions of constant 2018 United States dollars),966,2011
"55175",15.a.1 15.b.1,DC_ODA_BDVL,Total official development assistance for biodiversity; by recipient countries (millions of constant 2018 United States dollars),2292,2004
"55176",15.a.1 15.b.1,DC_ODA_BDVL,Total official development assistance for biodiversity; by recipient countries (millions of constant 2018 United States dollars),2292,2007
"55177",15.a.1 15.b.1,DC_ODA_BDVL,Total official development assistance for biodiversity; by recipient countries (millions of constant 2018 United States dollars),2292,2011
"56125",16.1.1,VC_IHR_PSRC,Number of victims of intentional homicide per 100;000 population; by sex (victims per 100;000 population),5040,2004
"56127",16.1.1,VC_IHR_PSRC,Number of victims of intentional homicide per 100;000 population; by sex (victims per 100;000 population),5040,2007
"56129",16.1.1,VC_IHR_PSRC,Number of victims of intentional homicide per 100;000 population; by sex (victims per 100;000 population),5040,2011
"56769",16.1.1,VC_IHR_PSRCN,Number of victims of intentional homicide; by sex (number),5145,2004
"56771",16.1.1,VC_IHR_PSRCN,Number of victims of intentional homicide; by sex (number),5145,2007
"56773",16.1.1,VC_IHR_PSRCN,Number of victims of intentional homicide; by sex (number),5145,2011
"57425",16.1.3,VC_VOV_PHYL,Proportion of population subjected to physical violence in the previous 12 months; by sex (%),267,2011
"57429",16.1.3,VC_VOV_PHYL,Proportion of population subjected to physical violence in the previous 12 months; by sex (%),267,2004
"57430",16.1.3,VC_VOV_PHYL,Proportion of population subjected to physical violence in the previous 12 months; by sex (%),267,2007
"57444",16.1.3,VC_VOV_ROBB,Proportion of population subjected to robbery in the previous 12 months; by sex (%),489,2011
"57448",16.1.3,VC_VOV_ROBB,Proportion of population subjected to robbery in the previous 12 months; by sex (%),489,2004
"57450",16.1.3,VC_VOV_ROBB,Proportion of population subjected to robbery in the previous 12 months; by sex (%),489,2007
"57513",16.1.3,VC_VOV_SEXL,Proportion of population subjected to sexual violence in the previous 12 months; by sex (%),305,2011
"57517",16.1.3,VC_VOV_SEXL,Proportion of population subjected to sexual violence in the previous 12 months; by sex (%),305,2004
"57521",16.1.3,VC_VOV_SEXL,Proportion of population subjected to sexual violence in the previous 12 months; by sex (%),305,2007
"57541",16.2.1,VC_VAW_PHYPYV,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years),92,2011
"57545",16.2.1,VC_VAW_PHYPYV,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years),92,2007
"57548",16.2.2,VC_HTF_DETVFL,Detected victims of human trafficking for forced labour; servitude and slavery; by age and sex (number),1945,2004
"57554",16.2.2,VC_HTF_DETVFL,Detected victims of human trafficking for forced labour; servitude and slavery; by age and sex (number),1945,2007
